replication,strategy,budget,best_r2
3,Broad,76,0.9982094301032671
3,Broad,77,0.9982094301032671
3,Broad,78,0.9982094301032671
3,Broad,79,0.9982094301032671
3,Broad,80,0.9982094301032671
3,Broad,81,0.9982094301032671
3,Broad,82,0.9982094301032671
3,Broad,83,0.9982094301032671
3,Broad,84,0.9982094301032671
3,Broad,85,0.9982094301032671
3,Broad,86,0.9982094301032671
3,Broad,87,0.9982094301032671
3,Broad,88,0.9982094301032671
3,Broad,89,0.9982094301032671
3,Broad,90,0.9982094301032671
3,Broad,91,0.9982094301032671
3,Broad,92,0.9982094301032671
3,Broad,93,0.9982094301032671
3,Broad,94,0.9982094301032671
3,Broad,95,0.9982094301032671
3,Broad,96,0.9982094301032671
3,Broad,97,0.9982094301032671
3,Broad,98,0.9982094301032671
3,Broad,99,0.9982094301032671
3,Broad,100,0.9982094301032671
3,Broad,101,0.9982094301032671
3,Broad,102,0.9982094301032671
3,Broad,103,0.9982094301032671
3,Broad,104,0.9982094301032671
3,Broad,105,0.9982094301032671
3,Broad,106,0.9982094301032671
3,Broad,107,0.9982094301032671
3,Broad,108,0.9982094301032671
3,Broad,109,0.9982094301032671
3,Broad,110,0.9982094301032671
3,Broad,111,0.9982094301032671
3,Broad,112,0.9982094301032671
3,Broad,113,0.9982094301032671
3,Broad,114,0.9982094301032671
3,Broad,115,0.9982094301032671
3,Broad,116,0.9982094301032671
3,Broad,117,0.9982094301032671
3,Broad,118,0.9982094301032671
3,Broad,119,0.9982094301032671
3,Broad,120,0.9982094301032671
4,AIBA,1,0.2033741211120027
4,AIBA,2,0.44583015208769505
4,AIBA,3,0.9979302878586147
4,AIBA,4,0.9979302878586147
4,AIBA,5,0.9979302878586147
4,AIBA,6,0.9979302878586147
4,AIBA,7,0.9979302878586147
4,AIBA,8,0.9979302878586147
4,AIBA,9,0.9979302878586147
4,AIBA,10,0.9979302878586147
4,AIBA,11,0.9979302878586147
4,AIBA,12,0.9979302878586147
4,AIBA,13,0.9979302878586147
4,AIBA,14,0.9979302878586147
4,AIBA,15,0.9979302878586147
4,AIBA,16,0.9979302878586147
4,AIBA,17,0.9979302878586147
4,AIBA,18,0.9979302878586147
4,AIBA,19,0.9979302878586147
4,AIBA,20,0.9979302878586147
4,AIBA,21,0.9979302878586147
4,AIBA,22,0.9979302878586147
