batch_size,max_epochs,learning_rate,neurons,dropout_rate,num_hidden_layers,activation,r2,training_seconds,actual_epochs,num_params,seed,replication,stage
2,2,0.011677971362260342,8,0.0005183220205874822,3,0.0,0.818529936178365,0.5646188999526203,2,209,212044,2,initial_shared
164,382,1.273972060945414e-05,16,0.00011668227869229409,1,0.0,-0.6128577812519804,0.9494315000483766,382,129,212045,2,initial_shared
43,1,0.00027907418000050574,43,0.0001210902636034022,1,1.0,-0.5748861046450808,0.29297239996958524,1,345,212046,2,initial_shared
16,2,0.003697197454705206,5,0.0011541182898101461,1,0.0,-0.6703729764072095,0.3065039000939578,2,41,212047,2,initial_shared
130,32,0.00010756117576088888,33,0.005978064171012017,2,1.0,-0.49491858834316105,0.44680889998562634,32,1387,212048,2,initial_shared
71,165,0.00015600379772781332,112,0.0006997614833378635,1,0.5,-0.07889511020335949,0.8408052999293432,165,897,212049,2,initial_shared
244,21,0.010127148327620685,5,0.005100024951843753,2,1.0,-0.23036256628162666,0.4254353999858722,21,71,212050,2,initial_shared
3,359,1.3222369924345542e-05,83,0.0006274694232276911,1,0.5,0.16387297059207384,16.091429900028743,359,665,212051,2,initial_shared
162,12,0.007062384880919949,34,0.00016756491798705674,2,0.5,-0.18647318052609907,0.37821350002195686,12,1463,212052,2,initial_shared
7,77,0.0009127944523364504,52,1.7839616610849683e-05,1,1.0,0.7134489242860387,1.894293999997899,77,417,212053,2,initial_shared
170,12,0.00014133871350797552,5,0.0007939541106093269,2,1.0,-0.5808491148122834,0.3872032000217587,12,71,212054,2,initial_shared
3,177,0.004451931997641867,4,0.0003014939703206873,2,1.0,0.9791717660366003,8.140294299926609,177,53,212055,2,initial_shared
2,161,0.006258199055183302,5,0.20051881500101196,3,0.5,0.9597876379873131,11.868302299990319,161,101,212056,2,initial_shared
9,2,0.0008475679833668437,144,1.794818777695174e-05,2,0.5,-0.02733521181010623,0.4016101999441162,2,22033,212057,2,initial_shared
22,17,0.00012853339770958313,11,5.491716651256837e-05,2,1.0,-0.46344412748089026,0.5267363999737427,17,221,212058,2,initial_shared
5,338,2.613756474837285e-05,487,0.00010869973874154942,2,0.0,0.9555461441545761,33.485490999999456,338,241553,212059,2,initial_shared
3,327,0.00019836800469885966,443,0.0027664929307825914,1,1.0,0.6402257700182845,15.295107700047083,327,3545,212060,2,initial_shared
14,2,0.00105361292077713,11,2.287326614083236e-05,3,0.0,-0.528822051998,0.5168652000138536,2,353,212061,2,initial_shared
114,47,0.001323381707137174,44,0.10274062203859982,1,1.0,-0.030390430495909726,0.42752249992918223,47,353,212062,2,initial_shared
5,6,1.919822044641685e-05,7,0.0041105856505771095,1,0.0,-0.754528967992127,0.46482869994360954,6,57,212063,2,initial_shared
70,1,1.2063590681251791e-05,443,0.07021085880719086,2,0.5,-0.5385918703042978,0.3611951000057161,1,200237,212064,2,initial_shared
82,31,1.4857880862164856e-05,3,0.02557353121413692,3,0.5,-0.5513453378992401,0.5066398000344634,31,49,212065,2,initial_shared
30,3,0.005593837527699779,277,0.024756938936762913,3,1.0,0.5468859940766995,0.47088289994280785,3,156229,212066,2,initial_shared
2,231,1.091922490240113e-05,115,2.5461759963846348e-05,3,1.0,0.5769091576648677,19.626371600083075,231,27601,212067,2,initial_shared
26,328,7.093201076469493e-05,51,0.018210738358803845,1,0.5,-0.023737883712126928,2.2499019999522716,328,409,212068,2,initial_shared
80,29,1.2610574259264023e-05,43,0.15448121427725156,2,0.5,-0.45002984328942164,0.4849339999491349,29,2237,212069,2,initial_shared
13,50,0.02174386433603921,9,1.4991175188530414e-05,2,0.5,0.9905686793524635,1.387769200024195,50,163,212070,2,initial_shared
29,102,1.451691197563969e-05,7,0.020388076498425275,1,0.0,-0.5202058939735195,0.8465788000030443,102,57,212071,2,initial_shared
10,347,3.5620050164847016e-05,3,0.0031699213295936957,3,0.0,-0.5357237992769901,5.64680300001055,347,49,212072,2,initial_shared
2,2,4.912299690079496e-05,23,0.003715816264331842,1,1.0,-0.500013811994861,0.39478249999228865,2,185,212073,2,initial_shared
